Player,Team,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
Boo,TH,42,0.77,125,0.66,71%,90.2,0.45,0.21,0,0.12,24%,10%,1/10,11,19,29,9,0,5
AsLanM4shadoW,BBL,60,0.77,149,0.75,63%,107.4,0.55,0.13,0.03,0.07,23%,10%,1/10,15,33,44,8,2,4
axeddy,KRÃ,41,0.77,164,0.66,61%,103.9,0.51,0.37,0.05,0.1,21%,14%,1/7,12,21,32,15,2,4
Carpe,T1,20,0.77,172,0.71,60%,115.4,0.6,0.2,0,0,28%,,0/2,12,12,17,4,0,0
starxo,KOI,46,0.76,123,0.59,70%,78.6,0.37,0.48,0,0.13,18%,,0/4,10,17,29,22,0,6
Melser,KRÃ,41,0.76,135,0.63,68%,86.1,0.49,0.27,0.07,0.15,34%,,0/8,13,20,32,11,3,6
DubsteP,TS,79,0.75,139,0.68,61%,100.3,0.49,0.16,0.1,0.13,24%,8%,1/13,14,39,57,13,8,10
Wolfen,KOI,46,0.75,186.5,0.74,61%,122.7,0.61,0.15,0.22,0.28,33%,,,14,28,38,7,10,13
f0rsakeN,PRX,38,0.75,210,0.74,61%,148.9,0.66,0.05,0.26,0.16,23%,25%,1/4,17,25,34,2,10,6
Sacy,SEN,39,0.74,171.5,0.77,72%,112.7,0.62,0.26,0.08,0.15,36%,14%,1/7,13,24,31,10,3,6
ban,T1,20,0.74,194,0.87,75%,117.6,0.65,0.1,0.1,0,18%,,0/5,13,13,15,2,2,0
Suggest,DFM,37,0.72,154.5,0.68,65%,90.8,0.57,0.38,0.11,0.14,30%,,0/5,11,21,31,14,4,5
mindfreak,PRX,38,0.72,163,0.66,76%,107.3,0.55,0.29,0.05,0.16,16%,,0/4,12,21,32,11,2,6
koldamenta,KOI,46,0.72,110,0.5,63%,74.9,0.37,0.41,0.02,0.07,21%,,0/4,12,17,34,19,1,3
Benkai,PRX,38,0.71,165.5,0.66,76%,112.7,0.55,0.29,0.05,0.11,21%,,0/10,13,21,32,11,2,4
xeta,T1,20,0.71,172,0.63,75%,106.4,0.5,0.7,0,0.15,29%,,0/3,10,10,16,14,0,3
Anthem,DFM,37,0.71,159,0.66,68%,109.1,0.51,0.16,0.08,0.05,32%,,0/5,13,19,29,6,3,2
SkRossi,GES,58,0.7,130.7,0.64,67%,91.6,0.5,0.33,0.03,0.12,26%,29%,2/7,18,29,45,19,2,7
crow,ZETA,41,0.7,135.5,0.52,66%,90.9,0.41,0.39,0.05,0.12,21%,,0/5,12,17,33,16,2,5
AvovA,TH,42,0.67,147.5,0.54,67%,97.2,0.48,0.38,0.07,0.05,18%,,0/3,12,20,37,16,3,2
xnfri,DFM,37,0.66,151,0.63,57%,107.5,0.51,0.16,0.03,0.05,19%,14%,1/7,12,19,30,6,1,2
dephh,SEN,39,0.63,130.5,0.53,64%,95.3,0.41,0.18,0.05,0.13,21%,,0/5,9,16,30,7,2,5
d4v41,PRX,38,0.63,138.5,0.52,66%,90.2,0.42,0.42,0.03,0.08,28%,,0/3,9,16,31,16,1,3
zekken,SEN,39,0.6,119.5,0.47,62%,77.3,0.38,0.28,0.1,0.13,24%,,0/3,8,15,32,11,4,5
soulcas,TL,41,0.59,112.5,0.53,56%,70.3,0.39,0.24,0.02,0.1,24%,,0/6,10,16,30,10,1,4
NagZ,KRÃ,41,0.58,106.5,0.42,59%,78.3,0.34,0.07,0.07,0.05,18%,,0/7,7,14,33,3,3,2
TENNN,ZETA,41,0.58,132.5,0.5,56%,84.4,0.41,0.2,0.07,0.29,23%,17%,1/6,9,17,34,8,3,12
2ge,RRQ,24,0.51,111,0.56,58%,82.9,0.42,0.25,0,0.04,29%,,0/2,10,10,18,6,0,1
Seoldam,DFM,17,0.27,129,0.44,53%,79.5,0.41,0.12,0.12,0.24,31%,,,7,7,16,2,2,4
